#;Tier (1/2/3);Scope;Control Reference;Design Effectiveness Assessment;Test Procedures 
37;2;LGD;7.6;Does the methodology adequately and documentedly consider refinancings, restructurings, and write-offs?;Test 7.6: Review the LGD methodology and calculation logic. Verify that the model explicitly accounts for Cure Rates (probability of returning to performing status). Specifically, check if the LGD for a segment is mathematically lowered by the portion of loans that cure (recover 100% of their balance) versus those that are liquidated.
38;1;LGD;7.7;Are there controls to ensure recovery data quality and correct application of LGD methodology?;
39;2;LGD;7.8;Are there controls to validate the valuation of collateral used in LGD?;Test 7.7: Check frequency of collateral appraisal updates. Old appraisals = wrong LGD.
40;1;EAD / CCF;8.1;Is there a clear definition and methodology for calculating EAD, including on- and off-balance sheet components where applicable?;"Test 8.1: Review EAD Formula. Must include ""Off-Balance Sheet"" component."
41;1;EAD / CCF;8.2;Are credit conversion factors (CCF) defined for off-balance sheet exposures and revolving products, where relevant?;Test 8.2: Check CCF table. Are there CCFs for Credit Cards, Overdrafts, and Guarantees?
42;2;EAD / CCF;8.3;Is the CCF methodology documented, conceptually sound, and supported by historical data, regulatory references, or benchmarking?;Test 8.3: If using Basel CCFs, is there a justification that they fit the bank's profile?
43;3;EAD / CCF;8.4;"Has the bank analyzed ""Limit Utilization"" behavior approaching default?";"Test 8.4: (Deep Dive) Review the ""LEQ"" (Limit Exposure Quantum) study if available."
44;2;EAD / CCF;8.5;How does the model handle cases where Balance > Limit?;Test 8.5: Verify logic. EAD should be the Balance, not the Limit, if Balance > Limit.
45;1;EAD / CCF;8.6;Are there controls to check EAD calculation for multi-currency facilities?;Test 8.6: Check if FX rates are applied correctly to EAD for foreign currency loans.
46;2;Macro Scenarios;9.1;Are scenario assumptions reviewed and approved by a governance committee?;"Test 9.1: Read ALCO minutes. Look for ""Approval of Q3 Scenarios""."
47;2;Macro Scenarios;9.2;Is there a process for updating scenarios in response to significant economic changes?;Test 9.2: Check the dates of the last 4 scenario sets  and periodicity. 
48;1;Macro Scenarios;9.3;Does the FLI approach include multiple plausible macroeconomic scenarios (e.g., base, adverse, optimistic), or is their absence adequately justified?;Test 9.3: Verify the Provisioning Report shows 3 distinct ECL results weighted together.
49;2;Macro Scenarios;9.4;Are the probabilities assigned to different macroeconomic scenarios documented and justified when these are used?;Test 9.4: Review justification for weights (e.g., 60% Base, 20% Up, 20% Down). Is it static or dynamic?
50;1;Forward-Looking Information;10.1;Is there a formal process for selecting, developing, and validating the macroeconomic model or approach used to incorporate forward-looking information?;Test 10.1: Review the FLI Model Validation Report. Look for stationarity and cointegration tests.
51;3;Forward-Looking Information;10.2;Are the macroeconomic variables used relevant to the credit risk of the portfolios, and is their selection justified?;Test 10.2: Check correlation matrix. Does GDP correlate negatively with PD? (It should).
52;3;Forward-Looking Information;10.3;Have minimum criteria and tests (e.g., significance, stability, explanatory power) been defined to accept a macroeconomic model as valid (champion model)?;Test 10.3: Check the model output summary. Are p-values < 0.05 for key variables?
53;2;Forward-Looking Information;10.4;Is it clearly documented how FLI is incorporated into risk parameter estimation (e.g., PD, LGD, or EAD adjustment through factors or recalibration)?;Test 10.4: Verify the mechanism. Embedded is better, but Scalar is acceptable if documented.
54;3;Forward-Looking Information;10.5;Does the FLI model or approach show a reasonable response to changes in macroeconomic conditions (sensitivity/scenario analysis)?;Test 10.5: Perform a sensitivity check. If GDP drops 5%, does ECL rise significantly?
55;2;Forward-Looking Information;10.6;Are there controls to ensure correct generation, review, and application of macroeconomic scenarios and FLI factors in the models?;Test 10.6: Verify if macro data feed is automated or manual (Manual = High Risk).
56;1;ECL Calculation;11.1;Is the integration of PD, LGD, EAD, and FLI in ECL calculation clearly specified and implemented for each stage?;Test 11.1: Re-calculate one loan's ECL in Excel using the inputs. Match to system result.
57;1;ECL Calculation;11.2;Does ECL calculation respect Stage 1, Stage 2, and Stage 3 definitions (e.g., 12-month vs lifetime horizon, treatment of default exposures)?;"Test 11.2: Check the ""Horizon"" parameter in the engine for Stage 2 loans. Must be > 12 months."
58;1;ECL Calculation;11.3;Staging criteria and thresholds for significant increase in credit risk (SICR), Thorough assessment of SICR criteria and application. Test on Sample basis on loan tapes.;Test 11.3: Check a loan with 40 DPD. Is it Stage 2? If it is Stage 1, is there a valid rebuttal?
59;2;ECL Calculation;11.4;Segmentation of financial assets into homogeneous risk groups (Not testing, but rather if it's taken into account, if different methodologies are used for different segments, homogeneity tests performed etc.);Test 11.4: Verify that Retail loans use the Retail Model and Corporate use the Corporate Model.
60;1;ECL Calculation;11.5;Is the overall ECL methodology consistent with expected loss standard requirements and relevant supervisory guidelines?;Test 11.5: (General) confirm the final booking includes the weighted average of scenarios.
61;2;ECL Calculation;11.6;Does the book include POCIs? How are they treated? Are they correctly recognised?;"Test 11.6: Search for POCI flag. Ensure they do not have a ""Stage 1"" but are tracked as POCI from Day 1."
62;2;ECL Calculation;11.7;Are there controls to ensure integrity and traceability of the ECL calculation process (reconciliations, reviews, execution documentation)?;"Test 11.7: Compare ""Number of Loans"" in Input File vs. Output File. Should match."
63;1;Model Monitoring;12.1;Are there processes and controls for continuous monitoring of model risk to detect performance deterioration or significant changes in the environment?;"Test 12.1: Review the ""Model Monitoring Package"". Look for PSI (Population Stability Index) charts."
64;2;Model Monitoring;12.2;Are there adequate controls over key processes (segmentation, model selection, parameter calibration, staging) that establish minimum steps and criteria for accepting new models, drivers, or methodological changes?;"Test 12.2: Request the ""Change Log"". Verify that the last model update was tested in UAT before Prod."
65;1;Model Overrides;13.1;Is there a formal policy defining when and how model overrides can be applied (e.g., thresholds, exceptional circumstances)?;Test 13.1: Review Policy. Does it set caps/limits on overrides? (e.g., max 5% of portfolio).
66;1;Model Overrides;13.2;Are all overrides documented with clear justification, supporting evidence, and approval from an independent authority?;"Test 13.2: Select a sample of 5 recent overrides (Post-Model Adjustments). Inspect the ""Credit Committee"" or ""Risk Committee"" minutes to find the specific approval for these adjustments."
67;3;Model Overrides;13.3;Are overrides subject to periodic review to ensure they remain valid and do not introduce bias or undermine model integrity?;"Test 13.3: Request a time-series report of overrides. Check if specific overrides (e.g., ""sector adjustment"") are rolled over quarter-after-quarter (indicating a permanent model deficiency) or if they expire/reverse."
