#;Tier (1/2/3);Scope;Control Reference;Control Name;Design Effectiveness Assessment;Test Procedures ;Answers based on Clients data
27;1;PD;6.2;PiT/TTC Justification;Is the PD model designed as Point-in-Time (PiT) or Through-the-Cycle (TTC), and is this choice justified against expected loss requirements?;Test 6.2: Check if the PD fluctuates with the economic cycle (Variable Scalar or FLI overlay). Verify if PiT PD is being apply or not since TTC PD alone is invalid for IFRS 9.;No, si bien se encuentra en proceso de Implementación. si bien existen controles analíticos mensuales que explican las diferencias entre la previsión normativa y NIIF (analizando desviaciones en PD por segmento), para la nueva metodología de PD, el modelo no posee cálculo PiT hoy.
28;1;PD;6.3;Lifetime PD Consistency;Is lifetime PD estimation well explained and consistent with the expected life of exposures and staging approach?;Test 6.3: Review the marginal PD calculation. Does it account for prepayments and natural maturity?;Si bien el Banco adoptó decisiones metodológicas relevantes para la estimación de PD (como excluir datos previos a 2021 por cambios de comportamiento o eliminar los últimos 6 meses del histórico), el Banco confirmó que estas exclusiones no están respaldadas por análisis cuantitativos. Tampoco se documentan criterios estadísticos para determinar la representatividad de la ventana de 36 meses ni pruebas que evalúen períodos atípicos como COVID. Estas limitaciones reducen la transparencia y robustez de la estimación de PD lifetime y su consistencia con la vida esperada de las exposiciones bajo NIIF 9.
30;1;PD;6.5;PD Backtesting;Are stability, sensitivity, or backtesting analyses available to support model calibration and performance?;"Test 6.5: Review the latest Backtesting Report. Look for ""Red/Amber/Green"" status on PD calibration.";"No se evidencia la realización de análisis formales de estabilidad, sensibilidad o backtesting que respalden la calibración y desempeño del modelo de PD, conforme a las expectativas regulatorias. En particular, no se han efectuado validaciones que demuestren la representatividad de la ventana de 36 meses ni la exclusión de los últimos 6 meses de datos, tampoco se han evaluado períodos atípicos (como COVID), lo que impide confirmar que la PD estimada refleje adecuadamente el comportamiento real del portafolio.

Adicionalmente, persisten debilidades en la documentación metodológica vinculadas al tratamiento técnico de ciertos parámetros, lo que refuerza la necesidad de fortalecer la validación integral del modelo bajo NIIF 9"
32;1;LGD;7.1;LGD Segmentation;Is the segmentation used for LGD (e.g., by product type, collateral, client type) defined and supported by empirical or business analysis?;"Test 7.1: Verify LGD is not ""one size fits all"". Expect different LGDs for Secured vs Unsecured.";"Parcial. La asunción de pérdida total está documentada. A partir de los 480 días de atraso (aprox. 16 meses), se ""fuerza una LGD de 100%"". Esto se justifica para asegurar que la operación esté totalmente previsionada antes de su pase a Cuentas de Orden."
34;1;LGD;7.3;Discount Rate Justification;Are recovery cash flows discounted using an appropriate rate (e.g., effective interest rate – EIR – or another duly justified rate) in line with applicable standards?;"Test 7.3: Verify the discount rate used. If ""Risk Free Rate"" is used, it's a finding. Must be EIR.";No Documentado. Aunque se describen cambios metodológicos futuros (como la incorporación de un modelo Forward Looking para LGD ), el texto actual no detalla controles específicos de calidad de datos sobre los inputs históricos de recupero.
36;1;LGD;7.5;Total Loss Assumptions;Are total loss assumptions (e.g., LGD of 100% after a certain time or condition) reasonably justified and documented?;"Test 7.5: Check policy for ""Write-off"" rules. Are assets >2 years past due provisioned at 100%?";El supuesto de pérdida total aplicado luego de determinado período de atraso no se encuentra respaldado por análisis histórico ni evidencia cuantitativa que demuestre que dicho plazo refleja el patrón real de recuperaciones. La ausencia de sustento empírico limita la fiabilidad del parámetro LGD y su alineación con las expectativas metodológicas bajo NIIF 9.
38;1;LGD;7.7;Recovery Data Controls;Are there controls to ensure recovery data quality and correct application of LGD methodology?;;No se evidencia un análisis cuantitativo que respalde el tratamiento de garantías en la estimación de LGD ni claridad sobre su incorporación en los flujos de recupero. La falta de controles y validaciones formales sobre esta información podría generar estimaciones sesgadas de LGD, afectando su robustez y trazabilidad metodológica.
40;1;EAD / CCF;8.1;EAD Methodology;Is there a clear definition and methodology for calculating EAD, including on- and off-balance sheet components where applicable?;"Test 8.1: Review EAD Formula. Must include ""Off-Balance Sheet"" component.";Si bien la metodología contempla de forma explícita el tratamiento de casos en los que la deuda supera el límite, estableciendo que cuando esto ocurre la EAD adicional se fija en cero para evitar que la exposición se infle artificialmente y asegurar que la EAD sea igual al saldo de deuda, la metodología permanece incompleta desde una perspectiva cuantitativa. En particular, no existe un modelo de CCF que sustente empíricamente la evolución de las exposiciones fuera de balance, ni se evidencian análisis históricos o estudios de comportamiento que respalden estos supuestos, lo que limita la solidez metodológica del parámetro EAD bajo NIIF 9.
41;1;EAD / CCF;8.2;CCF Definition;Are credit conversion factors (CCF) defined for off-balance sheet exposures and revolving products, where relevant?;Test 8.2: Check CCF table. Are there CCFs for Credit Cards, Overdrafts, and Guarantees?;El Banco no cuenta con un modelo formal ni análisis históricos que respalden cuantitativamente los factores de conversión de crédito (CCF) aplicados a exposiciones fuera de balance. La ausencia de validaciones y backtesting limita la robustez técnica del parámetro conforme a NIIF 9.
45;1;EAD / CCF;8.6;EAD Execution Controls;Are there controls to check EAD calculation for multi-currency facilities?;Test 8.6: Check if FX rates are applied correctly to EAD for foreign currency loans.;No se identificaron exposiciones fuera de balance en moneda extranjera que requieran controles específicos adicionales para la conversión de EAD, por lo que el punto se considera no aplicable en el contexto actual.
48;1;Macro Scenarios;9.3;Scenario Set;Does the FLI approach include multiple plausible macroeconomic scenarios (e.g., base, adverse, optimistic), or is their absence adequately justified?;Test 9.3: Verify the Provisioning Report shows 3 distinct ECL results weighted together.;La información prospectiva se incorpora a la PD mediante un modelo SARIMAX con variables macroeconómicas sin embargo no existen escenarios discretos ponderados ni incluye análisis de sensibilidad, lo que limita su alineación con las expectativas de NIIF 9. 
50;1;Forward-Looking Information;10.1;FLI Model Validation;Is there a formal process for selecting, developing, and validating the macroeconomic model or approach used to incorporate forward-looking information?;Test 10.1: Review the FLI Model Validation Report. Look for stationarity and cointegration tests.;No se evidencia un proceso formal documentado para la selección, desarrollo y validación del modelo macroeconómico utilizado en el componente Forward Looking. La ausencia de análisis alternativos, pruebas de sensibilidad y validaciones estructurales limita la trazabilidad y robustez del FLI bajo NIIF 9.
56;1;ECL Calculation;11.1;Parameter Integration;Is the integration of PD, LGD, EAD, and FLI in ECL calculation clearly specified and implemented for each stage?;Test 11.1: Re-calculate one loan's ECL in Excel using the inputs. Match to system result.;La metodología no detalla de manera suficiente cómo se integran los factores cuantitativos y cualitativos en el cálculo final de la Pérdida Crediticia Esperada, ni se documenta adecuadamente el tratamiento de activos POCI. Esta falta de transparencia afecta la reproducibilidad y consistencia del cálculo ECL bajo NIIF 9.
57;1;ECL Calculation;11.2;Stage Definitions;Does ECL calculation respect Stage 1, Stage 2, and Stage 3 definitions (e.g., 12-month vs lifetime horizon, treatment of default exposures)?;"Test 11.2: Check the ""Horizon"" parameter in the engine for Stage 2 loans. Must be > 12 months.";No se encuentran documentados criterios, umbrales ni lineamientos formales para la determinación consistente del pase a Stage 1, 2 o 3 en provisión individual. Tampoco se evidencia un proceso sistemático de evaluación de factores cualitativos ni de contraste de información declarada por el cliente. Esta ausencia de definición afecta la consistencia del staging bajo NIIF 9.
58;1;ECL Calculation;11.3;SICR Criteria;Staging criteria and thresholds for significant increase in credit risk (SICR), Thorough assessment of SICR criteria and application. Test on Sample basis on loan tapes.;Test 11.3: Check a loan with 40 DPD. Is it Stage 2? If it is Stage 1, is there a valid rebuttal?;No se encuentran documentados criterios, umbrales ni lineamientos formales para la determinación consistente del pase a Stage 1, 2 o 3 en provisión individual. Tampoco se evidencia un proceso sistemático de evaluación de factores cualitativos ni de contraste de información declarada por el cliente. Esta ausencia de definición afecta la consistencia del staging bajo NIIF 9.
60;1;ECL Calculation;11.5;ECL Standard Compliance;Is the overall ECL methodology consistent with expected loss standard requirements and relevant supervisory guidelines?;Test 11.5: (General) confirm the final booking includes the weighted average of scenarios.Check the ISCR process is compliant with IFRS 9 regulation.;El ISRC se basa principalmente en el umbral de 30 días de atraso, sin incorporar un análisis cuantitativo del incremento significativo de la PD Lifetime respecto al momento de originación, conforme exige NIIF 9. No se aplican criterios de aumento relativo ni referencias como threefold increase. Esto limita la correcta identificación de incrementos significativos de riesgo crediticio.
63;1;Model Monitoring;12.1;Model Monitoring;Are there processes and controls for continuous monitoring of model risk to detect performance deterioration or significant changes in the environment?;"Test 12.1: Review the ""Model Monitoring Package"". Look for PSI (Population Stability Index) charts.";La documentación y los procesos actuales no evidencian un esquema formal de monitoreo periódico del modelo NIIF 9. Si bien el Banco realiza revisiones mensuales de diferencias entre previsiones NIIF y normativas, no se dispone de métricas estadísticas de seguimiento como PSI, pruebas de estabilidad o análisis de desempeño en producción. Asimismo, los cambios recientes en la estimación de PD (cálculo por casos y ventana histórica de 36 meses) no cuentan aún con reportes formales de estabilidad ni monitoreo estadístico.
65;1;Model Overrides;13.1;Override Policy;Is there a formal policy defining when and how model overrides can be applied (e.g., thresholds, exceptional circumstances)?;Test 13.1: Review Policy. Does it set caps/limits on overrides? (e.g., max 5% of portfolio).;No existe una política formal documentada que regule la aplicación de overrides en el proceso NIIF 9, incluyendo criterios de aplicación, documentación requerida, límites cuantitativos, niveles de aprobación y controles asociados. Esta ausencia debilita la gobernanza del modelo conforme a NIIF 9 B5.5.50.
66;1;Model Overrides;13.2;Override Approval;Are all overrides documented with clear justification, supporting evidence, and approval from an independent authority?;"Test 13.2: Select a sample of 5 recent overrides (Post-Model Adjustments). Inspect the ""Credit Committee"" or ""Risk Committee"" minutes to find the specific approval for these adjustments.";El Banco cuenta con un proceso formal que asegura la adecuada documentación, justificación y aprobación independiente de los ajustes aplicados bajo el esquema de Tratamiento Individual. Los ajustes manuales son determinados por el Área de Riesgo Crediticio y posteriormente elevados al Directorio para su validación, garantizando independencia y control. Asimismo, se establece que futuros ajustes forward-looking, especialmente en LGD, serán revisados y aprobados por el Comité de Riesgo y Cumplimiento, quedando formalmente documentados en actas. 
