#;Tier (1/2/3);Scope;Control Reference;Design Effectiveness Assessment;Test Procedures ;Answers based on Clients data;Findings 04/12 Juan
11;2;Data Quality and Sources;2.3;Are there formal controls to ensure the completeness, accuracy, and consistency of data used in PD, LGD, and EAD calculations?;"Test 2.3: Inspect ETL specs. Look for ""Reject Rules"" (e.g., ""If DPD < 0, reject record"").";"Sí. Existe un análisis mensual de las diferencias entre las previsiones contables (NIIF 9) y las normativas8. Además, la EAD se define explícitamente como el ""saldo contable"" a la fecha de cálculo, asegurando un vínculo directo con los saldos financieros reportados9.";
12;2;Data Quality and Sources;2.4;Is there a process for periodic data quality checks, including reconciliation between source systems and model input datasets?;"Test 2.4: Request the last ""Risk-to-Finance"" reconciliation report. Check for unexplained variances > threshold.";"Metodológicamente Documentado. La política documenta transformaciones lógicas clave, como el uso de la técnica ""Chain Ladder"" para estimar valores faltantes en las curvas de PD 10y la ponderación de variables para el score de Tratamiento Individual1111. No se proporciona una matriz de trazabilidad técnica de IT.";
13;3;Data Quality and Sources;2.5;Are data transformations (e.g., aggregations, adjustments, mappings) traceable and documented to ensure transparency and auditability?;"Test 2.5: Select one variable (e.g., ""LGD""). Trace its journey from the raw table to the final calculation engine input.";"No Documentado. Los documentos no mencionan auditorías específicas de ""Gobernanza de Datos"". La inspección señaló la falta de una validación independiente del modelo 12, lo cual el banco está subsanando mediante la contratación de un proveedor externo13.";
14;3;Data Quality and Sources;2.6;Are data dictionaries and metadata maintained for all key IFRS 9 data elements?;"Test 2.6: Review Data Dictionary. Check definitions for ambiguity (e.g., does ""Maturity Date"" mean legal or expected?).";"Sí. La Política distingue explícitamente entre ""Tratamiento Individual"" y ""Tratamiento Colectivo""14. El individual aplica a operaciones nuevas/inhabituales sin historia de pago (ej. documentos comprados) 15151515, mientras que el colectivo agrupa riesgos homogéneos como Banca Empresa o Tarjetas de Crédito16161616.";
15;3;Data Quality and Sources;2.7;Are periodic audits performed to verify compliance with data governance policies and standards?;"Test 2.7: Review Internal Audit Plan. Check if ""Data Governance"" is a scheduled audit topic.";"En Progreso. El BCRA observó que, aunque la segmentación avanzó, faltaba explicitar la ""fundamentación técnica"" de la misma. El Banco se comprometió a actualizar el Manual con esta justificación técnica para el 31/08/2025.";
16;1;Segmentation;3.1;Does segmentation adequately distinguish between collective and individual treatment, where applicable?;Test 3.1: Review the Segmentation Policy. Verify that clear, mutually exclusive criteria (whether quantitative thresholds, specific risk characteristics, or lack of historical data) are defined to assign exposures to either Individual or Collective assessment.;Sí. Los criterios están definidos: operaciones que no se liquidan en aplicativos estándar o casos especiales (ej. emergencia agropecuaria). Para estos casos, se utiliza un modelo de score específico con 10 variables (ej. Situación en Sistema Financiero, Atraso, Apalancamiento).;
17;1;Segmentation;3.2;Is there a defined process (quantitative and/or qualitative) to determine and review segmentation (homogeneity/heterogeneity, concentration, stability, etc.)?;"Test 3.2: Request the last ""Segmentation Review"" report. Did they check if segments are still distinct?";"Sí. La política define reglas de mapeo específicas basadas en ""Tipos de Operación"" (ej. Banca Empresa = Tipos 3, 6, 8). Existe un control explícito para asegurar que, tras el filtrado, no queden operaciones sin segmento asignado. ";
18;3;Segmentation;3.3;Do collective segments group exposures with sufficiently similar risk characteristics?;Test 3.3: (Statistical) Request Cluster Analysis or Variance Analysis (ANOVA) on default rates within segments.;"Sí. La definición está documentada en la Sección 4.2 de la Política. Se define el Incumplimiento (Default) como un atraso superior a 90 días1. También incluye disparadores de ""Unlikeliness-to-Pay"" (UTP) como: clientes demandados judicialmente, en concurso, o con quiebra decretada/pedida2.";
19;2;Segmentation;3.4;Is the criterion for assigning individual treatment clearly defined, justified, and documented?;"Test 3.4: Select 5 ""Individual"" files. Check if they meet the documented criteria (e.g., Watchlist, Size).";"Sí. La Política declara explícitamente que ""La definición de default utilizada es consistente con la expresada precedentemente en relación al Incumplimiento""3. Para el cálculo de LGD, también se consideran créditos en default aquellos con atrasos superiores a 90 días4.";
20;2;Segmentation;3.5;Are there controls to verify that segmentation rules are correctly applied to the model input data?;Test 3.5: Analyze the loan tape. Check for misclassified loans (e.g., a Corporate loan in the Retail segment).;"Sí. Existe una política formal de ""Contagio de Clasificación"" (Sección 4.4)5. La regla establece que si el saldo total en un Stage superior representa al menos el 30% del saldo total del cliente, dicho Stage ""contagia"" al resto de las operaciones6. Además, la respuesta a la inspección añade una regla más estricta de ""contagio de stage"" donde cualquier operación en Stage 2/3 puede arrastrar al cliente7.";
;1;Segmentation;3.6;Is the segmentation quantitativelly backed  ?;"Test 3.6: Request the last ""Segmentation Review"" report. Did they check if segments are still distinct?";No. La segmentación no está respaldada cuantitativamente. No se han ejecutado tests cuantitativos (homogeneidad, heterogeneidad, PSI, concentración) para asegurar que la segmentación es adecuada;La segmentación no está respaldada cuantitativamente. No se han ejecutado tests cuantitativos (homogeneidad, heterogeneidad, PSI, concentración) para asegurar que la segmentación es adecuada
21;1;Definition of Default;4.1;Is the definition of default documented and consistent with the reference regulation (e.g., more than 90 days past due, unlikeliness-to-pay criteria, etc.)?;"Test 4.1: Verify Policy text explicitly mentions ""90 days"" and lists UTP triggers (bankruptcy, restructuring).";"Sí. La respuesta a la inspección confirma que la metodología de ""contagio de stage"" entre operaciones del mismo cliente ""Ya se encuentra operativa en la metodología actual""8.";No existen criterios UTP para entradas en stage 3 ni umbral de materialidad de acuerdo con la nueva DoD
22;1;Definition of Default;4.2;Is the default definition applied consistently across staging, PD, LGD, and other model components?;Test 4.2: Compare the Default definition in the IFRS 9 Manual vs. the Basel/Capital Manual. They should match.;Sí, con cambios en curso. La Sección 4.6 documenta la metodología actual (curvas de frecuencia histórica promediadas)9999. Sin embargo, el BCRA observó que el cálculo se basaba en montos en lugar de casos. El Banco se comprometió a cambiar la metodología para usar cantidad de casos (exposiciones individuales) para septiembre de 2025.;
23;1;Risk Contagion;5.1;Is there a formal policy or criterion for risk contagion among exposures of the same client or economic group?;"Test 5.1: Review Policy. Look for the ""Pulling Effect"" rule (e.g., if 20% of exposure is default, all is default).";Ajustándose a PiT. El BCRA señaló que la ventana histórica de 8 años era excesiva para el enfoque Point-in-Time (PiT) requerido para Stage 111. El Banco está implementando una nueva ventana de 36 meses para reflejar mejor las condiciones económicas actuales12. El componente Forward Looking ya utiliza un modelo SARIMAX sensible a variables exógenas (RIPTE)13.;
24;3;Risk Contagion;5.2;Is the contagion criterion considered prudent and aligned with best practices in credit risk management?;Test 5.2: Compare the contagion threshold (e.g., >30% balance) against local peer practices.;"Sí. La estimación de Lifetime es consistente. Se utiliza un horizonte máximo de análisis de 60 meses, justificado en la política debido a que ""no existen carteras con vencimientos residuales superiores a dicho límite""14. Se calcula la probabilidad acumulada hasta la extinción de la cartera15.";
25;1;Risk Contagion;5.3;Are there controls or periodic reviews to verify that stage contagion is correctly applied in practice?;Test 5.3: Identify a client with one defaulted loan. Check if their other performing loans are flagged as Stage 3.;"Sí. La metodología está documentada y justificada. Para construir la cola de la curva donde faltan datos históricos recientes (triángulos de observaciones faltantes), el Banco utiliza explícitamente la técnica ""Chain Ladder"" (development methodology) para estimar y proyectar los valores hasta el mes 6016.";El 30% no está sustentado por análisis cuantitativo.
26;1;PD;6.1;Is the PD estimation methodology clearly documented (data sources, horizon, statistical technique, target population, assumptions)?;Test 6.1: Verify the document explains how the PD is calculated step-by-step (Formulas, Variables).;"Parcial (Validación Estadística). La política incluye resultados detallados de validación estadística para el modelo Forward Looking (SARIMAX), mostrando valores de AIC, BIC, pruebas de Ljung-Box y significatividad de parámetros (p-values). Para la nueva PD, se mencionan pruebas de cálculo en paralelo (""pruebas de control"") durante la transición. Documentación insuficiente porque no se detalla cuántas curvas históricas se utilizan ni se justifica la ventana de 36 meses como periodo PiT. Tampoco existe sustento para excluir los últimos 6 meses, ni análisis que evalúen la representatividad histórica o la detección de períodos atípicos (como COVID). Esta falta de soporte limita la solidez y trazabilidad de la metodología conforme a NIIF 9.";Documentación insuficiente porque no se detalla cuántas curvas históricas se utilizan ni se justifica la ventana de 36 meses como periodo PiT. Tampoco existe sustento para excluir los últimos 6 meses, ni análisis que evalúen la representatividad histórica o la detección de períodos atípicos (como COVID). Esta falta de soporte limita la solidez y trazabilidad de la metodología conforme a NIIF 9.
27;1;PD;6.2;Is the PD model designed as Point-in-Time (PiT) or Through-the-Cycle (TTC), and is this choice justified against expected loss requirements?;Test 6.2: Check if the PD fluctuates with the economic cycle (Variable Scalar or FLI overlay). TTC is invalid for IFRS 9.;En Implementación. Existen controles analíticos mensuales que explican las diferencias entre la previsión normativa y NIIF (analizando desviaciones en PD por segmento)19. Además, para la nueva metodología de PD, el Banco realizará ejecuciones en paralelo en julio y agosto de 2025 para controlar la consistencia de los resultados antes de la puesta en producción.;
28;1;PD;6.3;Is lifetime PD estimation well explained and consistent with the expected life of exposures and staging approach?;Test 6.3: Review the marginal PD calculation. Does it account for prepayments and natural maturity?;"Sí. La segmentación de LGD está definida en la Política (Sección 4.7). No es ""one size fits all"" para toda la cartera, sino que se segmenta entre Cartera Individuos y Cartera Empresas1. Sin embargo, no se segmenta por garantías (Secured vs Unsecured); el Banco justificó explícitamente en la inspección que no considera las garantías en la LGD debido a su baja significatividad (94.29% de la cartera no tiene garantías preferidas).";
29;2;PD;6.4;Is the method for constructing and, if applicable, extrapolating PD curves or probabilities across different horizons justified and documented?;Test 6.4: Check the tail of the PD curve (>5 years). Is it flat, converging, or purely extrapolated?;"Parcialmente. La metodología describe cómo se estiman los flujos de recupero: se consideran las ""Reducciones de capital"" 3y la ""Cura"" (recupero del 100% si el atraso es <90 días en los 12 meses siguientes)4. No obstante, no hay mención explícita en el texto sobre la deducción de ""Costos de Recupero"" (como honorarios legales) de estos flujos.";
30;1;PD;6.5;Are stability, sensitivity, or backtesting analyses available to support model calibration and performance?;"Test 6.5: Review the latest Backtesting Report. Look for ""Red/Amber/Green"" status on PD calibration.";No Documentado. La fórmula provista es 1 - (Recupero / Saldo en default)5. El texto describe el cálculo como un promedio ponderado por saldo6, pero no menciona explícitamente el descuento de flujos de efectivo utilizando la Tasa de Interés Efectiva (EIR) ni ninguna otra tasa de descuento.;Ausencia de validaciones y análisis de representatividad pues no se han realizado validaciones que demuestren la representatividad de la ventana de 36 meses ni la exclusión de los últimos 6 meses. Tampoco se evaluaron períodos atípicos como COVID. Esto impide confirmar que la PD estimada refleja adecuadamente el comportamiento real del portafolio.
31;2;PD;6.6;Are there controls to ensure input data quality and correct execution of PD calculation?;Test 6.6: Sample check. Take the Model Output PD and compare it to the Core Banking System PD field.;Sí. El horizonte de observación está justificado y es consistente. La política establece que los saldos no recuperados luego de 12 meses son considerados pérdidas7. Este es el horizonte utilizado para medir los recuperos históricos.;
32;1;LGD;7.1;Is the segmentation used for LGD (e.g., by product type, collateral, client type) defined and supported by empirical or business analysis?;"Test 7.1: Verify LGD is not ""one size fits all"". Expect different LGDs for Secured vs Unsecured.";"Sí. La asunción de pérdida total está documentada. A partir de los 480 días de atraso (aprox. 16 meses), se ""fuerza una LGD de 100%""8. Esto se justifica para asegurar que la operación esté totalmente previsionada antes de su pase a Cuentas de Orden9.";
33;2;LGD;7.2;Does the methodology clearly describe how recovery cash flows, recovery costs, and timing of loss recognition are estimated?;"Test 7.2: Review LGD formula. Check if ""Recovery Costs"" (legal fees) are deducted from cash flows.";Sí. La metodología considera explícitamente las Tasas de Cura. Define que las operaciones en default (Stage 3) se consideran 100% recuperadas si registran atrasos inferiores a 90 días durante los 12 meses posteriores al evento de default10. Estos casos se integran en el conjunto de datos históricos con una tasa de pérdida del 0%.;
34;1;LGD;7.3;Are recovery cash flows discounted using an appropriate rate (e.g., effective interest rate – EIR – or another duly justified rate) in line with applicable standards?;"Test 7.3: Verify the discount rate used. If ""Risk Free Rate"" is used, it's a finding. Must be EIR.";No Documentado. Aunque se describen cambios metodológicos futuros (como la incorporación de un modelo Forward Looking para LGD 11), el texto actual no detalla controles específicos de calidad de datos sobre los inputs históricos de recupero.;
35;2;LGD;7.4;Is the observation horizon used to measure recoveries and losses justified and consistent with historical exposure behavior?;"Test 7.4: Check the ""Time to Liquidation"" parameter. Is it realistic (e.g., 2 years) vs legal reality?";N/A (No Aplica). Dado que el Banco ha decidido excluir las garantías del cálculo de LGD por su baja materialidad y falta de evidencia robusta de ejecución12121212, los controles sobre la actualización de tasaciones de colaterales no son aplicables al modelo de LGD vigente.;
36;1;LGD;7.5;Are total loss assumptions (e.g., LGD of 100% after a certain time or condition) reasonably justified and documented?;"Test 7.5: Check policy for ""Write-off"" rules. Are assets >2 years past due provisioned at 100%?";Sí. Existe una definición clara. La EAD se define como el saldo contable (Capital + Intereses)13. Para operaciones revolving, se incluye explícitamente un componente fuera de balance: EAD RespEventuales = Límite no utilizado * CCF14.;Supuesto de pérdida total no justificado porque se asume que las exposiciones en default presentan pérdida total luego de 12 meses, pero no existe análisis histórico ni evidencia cuantitativa que respalde que este plazo refleja el patrón real de recuperaciones, y además ausencia de sustento empírico limita la fiabilidad del parámetro LGD.
37;2;LGD;7.6;Does the methodology adequately and documentedly consider refinancings, restructurings, and write-offs?;Test 7.6: Review the LGD methodology and calculation logic. Verify that the model explicitly accounts for Cure Rates (probability of returning to performing status). Specifically, check if the LGD for a segment is mathematically lowered by the portion of loans that cure (recover 100% of their balance) versus those that are liquidated.;Sí. Los CCF (Factores de Conversión de Crédito) están definidos en una tabla basada en bandas de utilización: 1% (<25% uso), 10% (25-50% uso), 20% (50-75% uso) y 40% (>75% uso)15.;
38;1;LGD;7.7;Are there controls to ensure recovery data quality and correct application of LGD methodology?;;"Basado en Basilea. La documentación indica que se toman como parámetro los estándares de Basilea (rango guía 10%-75%) 16 y se adaptan internamente. No se presenta evidencia de un estudio empírico propio (""calibration based on own data"") en el texto.";Tratamiento de garantías no sustentado pues no hay claridad respecto de si las garantías reales o personales se incorporan en la estimación de LGD ni evidencia de cómo se valoran o integran en los flujos de recuperación. La falta de controles y análisis sobre esta información puede generar estimaciones de LGD subestimadas o sobrestimadas.
39;2;LGD;7.8;Are there controls to validate the valuation of collateral used in LGD?;Test 7.7: Check frequency of collateral appraisal updates. Old appraisals = wrong LGD.;"No. La política se basa en benchmarks regulatorios (""estándares que... ofrece Basilea"" 17). No hay evidencia documentada de un análisis interno de ""Limit Utilization"" (LEQ) sobre el comportamiento histórico de los clientes del banco acercándose al default.";
40;1;EAD / CCF;8.1;Is there a clear definition and methodology for calculating EAD, including on- and off-balance sheet components where applicable?;"Test 8.1: Review EAD Formula. Must include ""Off-Balance Sheet"" component.";"Sí. La lógica maneja este caso explícitamente. La política establece que ""Cuando la deuda es mayor al límite, la EAD Adicional se fija en 0""18. Esto asegura que la EAD no se infle artificialmente y sea igual al saldo de deuda.";Metodología incompleta. Aunque se define conceptualmente el cálculo de la exposición en default, no existe un modelo de CCF que sustente cuantitativamente la evolución de la exposición fuera de balance. La ausencia de análisis histórico o estudios de comportamiento limita la solidez de la metodología EAD.
41;1;EAD / CCF;8.2;Are credit conversion factors (CCF) defined for off-balance sheet exposures and revolving products, where relevant?;Test 8.2: Check CCF table. Are there CCFs for Credit Cards, Overdrafts, and Guarantees?;No Documentado. No se menciona en la documentación provista el tratamiento específico ni los controles para conversiones de moneda extranjera en el cálculo de la EAD.;Insuficiente sustento metodológico. El Banco no cuenta con un modelo formal para la estimación de los factores de conversión de crédito (CCF). Los valores utilizados no están respaldados por análisis históricos de utilización ni por evaluaciones cuantitativas que justifiquen su magnitud. Esta falta de evidencia limita la robustez del parámetro EAD bajo NIIF 9.
42;2;EAD / CCF;8.3;Is the CCF methodology documented, conceptually sound, and supported by historical data, regulatory references, or benchmarking?;Test 8.3: If using Basel CCFs, is there a justification that they fit the bank's profile?;"Sí. La gobernanza está establecida. La Política (Sección 3.1) asigna al Directorio la responsabilidad de aprobar los parámetros del modelo1. Además, para el nuevo modelo de FLI en LGD, la respuesta a la inspección especifica que el ""Comité de GIR y Cumplimiento"" analizará los resultados y las decisiones se formalizarán mediante actas2.";
43;3;EAD / CCF;8.4;"Has the bank analyzed ""Limit Utilization"" behavior approaching default?";"Test 8.4: (Deep Dive) Review the ""LEQ"" (Limit Exposure Quantum) study if available.";"Sí. La Política establece una revisión ""como mínimo anualmente""3. Adicionalmente, la respuesta a la inspección indica que el nuevo cálculo de FLI para LGD se realizará con frecuencia semestral4.";
44;2;EAD / CCF;8.5;How does the model handle cases where Balance > Limit?;Test 8.5: Verify logic. EAD should be the Balance, not the Limit, if Balance > Limit.;"Parcial (Intervalos de Confianza). Para la PD, el modelo actual (SARIMAX) genera una predicción única (""Future PD - Forecast"") acompañada de un intervalo de confianza al 90%5, en lugar de tres escenarios discretos ponderados (Base, Adverso, Optimista). Para la LGD, el Banco se comprometió a implementar un modelo con ""Enfoque institucional"" donde se documentarán los escenarios considerados6666.";
45;1;EAD / CCF;8.6;Are there controls to check EAD calculation for multi-currency facilities?;Test 8.6: Check if FX rates are applied correctly to EAD for foreign currency loans.;No Documentado / No Aplica. Dado que el modelo de PD utiliza una proyección estadística directa con intervalos de confianza en lugar de ponderar escenarios discretos (ej. 60/20/20), no existen pesos de probabilidad explícitos documentados en la política actual7.;
46;2;Macro Scenarios;9.1;Are scenario assumptions reviewed and approved by a governance committee?;"Test 9.1: Read ALCO minutes. Look for ""Approval of Q3 Scenarios"".";Sí. Existe un proceso técnico documentado (Sección 4.10). Se detalla la selección de variables exógenas (RIPTE, CER), la transformación de datos (diferenciación) y se realizan pruebas formales de estacionariedad (Dickey-Fuller Aumentada) y análisis de autocorrelación (ACF/PACF) para validar el enfoque888888888.;
47;2;Macro Scenarios;9.2;Is there a process for updating scenarios in response to significant economic changes?;Test 9.2: Check the dates of the last 4 scenario sets  and periodicity. ;Sí. Los criterios de aceptación estadística son visibles. La documentación presenta las tablas de resultados del modelo SARIMAX donde se verifican los p-values (P>z) para asegurar que sean significativos (< 0.05). Por ejemplo, la variable ripte_real muestra un p-value de 0.041 en el modelo final999.;
48;1;Macro Scenarios;9.3;Does the FLI approach include multiple plausible macroeconomic scenarios (e.g., base, adverse, optimistic), or is their absence adequately justified?;Test 9.3: Verify the Provisioning Report shows 3 distinct ECL results weighted together.;Embebido. El FLI se incorpora directamente en la estimación del parámetro. Se utiliza un modelo SARIMAX (Seasonal AutoRegressive Integrated Moving Average with exogenous regressors) que predice la serie temporal de morosidad/PD utilizando la variable exógena (RIPTE) como input directo en la ecuación10.;
49;2;Macro Scenarios;9.4;Are the probabilities assigned to different macroeconomic scenarios documented and justified when these are used?;Test 9.4: Review justification for weights (e.g., 60% Base, 20% Up, 20% Down). Is it static or dynamic?;Sí. El modelo demuestra sensibilidad económica. El coeficiente de la variable ripte_real es negativo (-2.6011)11, lo que indica una relación inversa lógica: si el salario real (RIPTE) cae, la probabilidad de default (PD) aumenta. Además, el gráfico de predicción muestra cómo la PD reacciona a la proyección de las variables12.;
50;1;Forward-Looking Information;10.1;Is there a formal process for selecting, developing, and validating the macroeconomic model or approach used to incorporate forward-looking information?;Test 10.1: Review the FLI Model Validation Report. Look for stationarity and cointegration tests.;No Documentado. La documentación describe las fuentes de datos (RIPTE, CER)13, pero no especifica si la alimentación de estos indicadores macroeconómicos al modelo es un proceso automatizado o una carga manual, lo cual es relevante para el riesgo operativo.;Validación insuficiente del FLI. El modelo utiliza únicamente un enfoque macroeconómico sin evaluar alternativas metodológicas, y excluye los datos previos a 2021 sin sustento cuantitativo, lo que podría omitir fases adversas del ciclo (como COVID) e infraestimar PDs. Además, no se realizan pruebas de sensibilidad sobre el modelo ni sobre sus variables, limitando la evaluación de su robustez.
51;3;Forward-Looking Information;10.2;Are the macroeconomic variables used relevant to the credit risk of the portfolios, and is their selection justified?;Test 10.2: Check correlation matrix. Does GDP correlate negatively with PD? (It should).;Sí. La integración es explícita y se realiza mediante fórmulas definidas para cada Stage en la Sección 4.5 de la Política. Stage 1: $EAD \times (PD_{12m} \times FL) \times LGD$1. Stage 2: $EAD \times (PD_{Lifetime} \times FL) \times LGD$2. Stage 3: $EAD \times LGD$3.;
52;3;Forward-Looking Information;10.3;Have minimum criteria and tests (e.g., significance, stability, explanatory power) been defined to accept a macroeconomic model as valid (champion model)?;Test 10.3: Check the model output summary. Are p-values < 0.05 for key variables?;"Sí. El cálculo respeta los horizontes temporales. La Política define que el Stage 1 utiliza la PD acumulada a 12 meses, mientras que el Stage 2 utiliza la PD ""Lifetime"" (vida residual), calculada promediando curvas hasta la extinción de la cartera (hasta 60 meses).";
53;2;Forward-Looking Information;10.4;Is it clearly documented how FLI is incorporated into risk parameter estimation (e.g., PD, LGD, or EAD adjustment through factors or recalibration)?;Test 10.4: Verify the mechanism. Embedded is better, but Scalar is acceptable if documented.;Sí, con mejoras en proceso. Actualmente, el criterio principal es la mora > 30 días. Tras la inspección, el Banco está incorporando tres disparadores adicionales de SICR (Incremento Significativo de Riesgo): 1) Contagio de Stage entre operaciones del cliente, 2) Concurso Preventivo, y 3) Clasificación en Central de Deudores (ej. situación 3 o peor).;
54;3;Forward-Looking Information;10.5;Does the FLI model or approach show a reasonable response to changes in macroeconomic conditions (sensitivity/scenario analysis)?;Test 10.5: Perform a sensitivity check. If GDP drops 5%, does ECL rise significantly?;"Sí. La segmentación distingue claramente entre ""Tratamiento Individual"" y múltiples grupos de ""Tratamiento Colectivo"" (Banca Empresa, Cuentas Corrientes, Tarjetas, etc.). La asignación se controla mediante reglas basadas en códigos de ""Tipo de Operación"".";
55;2;Forward-Looking Information;10.6;Are there controls to ensure correct generation, review, and application of macroeconomic scenarios and FLI factors in the models?;Test 10.6: Verify if macro data feed is automated or manual (Manual = High Risk).;"Parcial. El modelo actual de PD genera una ""predicción"" única con un intervalo de confianza del 90% basada en un modelo SARIMAX, en lugar de utilizar explícitamente el promedio ponderado de tres escenarios macroeconómicos discretos (Base, Optimista, Pesimista). El Banco está desarrollando un nuevo enfoque institucional para la LGD para mejorar la prospectividad.";
